Facebook;Instagram;Terceros;Ventas
1150.5;189;346;22100
222.5;196.5;225.5;10400
86;229.5;346.5;9300
757.5;206.5;292.5;18500
904;54;292;12900
43.5;244.5;375;7200
287.5;164;117.5;11800
601;98;58;13200
43;10.5;5;4800
999;13;106;10600
330.5;29;121;8600
1073.5;120;20;17400
119;175.5;329.5;9200
487.5;38;36;9700
1020.5;164.5;230;19000
977;238.5;264.5;22400
339;183;570;12500
1407;198;279;24400
346;102.5;91.5;11300
736.5;119.5;95.5;14600
1092;138.5;267;18000
1187;25.5;117.5;12500
66;79.5;248;5600
1141.5;84.5;131;15500
311.5;63;91.5;9700
1314.5;17.5;97.5;12000
714.5;146.5;63;15000
1200.5;83.5;114.5;15900
1244;135.5;114.5;18900
353;80;204;10500
1464.5;141.5;216;21400
564.5;87;193;11900
486;7.5;150;9600
1328;100;1.5;17400
478.5;7;37;9500
1453.5;20.5;42.5;12800
1334.5;219;25;25400
373.5;247;228.5;14700
215.5;133.5;175.5;10100
1140;188.5;160;21500
1012.5;111.5;158;16600
885;167;193.5;17100
1468;138.5;9;20700
1034.5;42;132;12900
125.5;128.5;216.5;8500
875.5;112.5;157.5;14900
448.5;49.5;178.5;10600
1199.5;207.5;92.5;23200
1136;79;249.5;14800
334.5;58.5;184;9700
999;15.5;173;11400
502;48;18;10700
1082;208.5;198;22600
913;231;293.5;21200
1313.5;144;79.5;20200
994.5;247;300;23700
36.5;140.5;207;5500
681;96;83;13200
1054;248;188.5;23800
1053.5;147.5;46.5;18400
267.5;10;107;8100
1306.5;213.5;273.5;24200
1196.5;77.5;136.5;15700
513.5;148;42;14000
655.5;214;144.5;18000
345;46.5;4.5;9300
157.5;123;11;9500
696.5;72.5;51;13400
1187;137.5;55;18900
1084;219.5;136;22300
995.5;153;193.5;18300
549;71.5;158.5;12400
134;165;96.5;8800
647;28.5;156.5;11000
1067;123;65.5;17000
84.5;218.5;447;8700
137.5;8;103.5;6900
602.5;142.5;71;14200
27;149.5;47;5300
580;38.5;115.5;11000
382;133.5;111.5;11800
1199;20.5;184.5;12300
376.5;101.5;50;11300
342;222.5;178;13600
1067.5;215;169;21700
966;92;328.5;15200
381.5;137.5;80;12000
553.5;203;316;16000
441.5;127.5;367;12900
549;239;257;16700
671.5;24.5;46.5;11200
143;7.5;165;7300
1088.5;167.5;295;19400
1254.5;182.5;361.5;22200
537;70;54.5;11500
816.5;158;264.5;16900
988;17.5;29.5;11700
924.5;105;110;15500
1448.5;211.5;256;25400
676;208.5;229.5;17200
1112;21.5;249;11700
1482;181.5;504.5;23800
1401;50.5;107;14800
939.5;86;89.5;14700
1191;171.5;26.5;20700
689.5;232;295;19200
125;55;148.5;7200
452;1.5;116;8700
65.5;2;128;5300
1277;134.5;27.5;19800
1129;41;282.5;13400
1208.5;190;116;21800
878.5;77;12;14100
1048;103;53.5;15900
391;234;172.5;14600
375.5;175;263.5;12600
696;71.5;128;12200
382;4;74;9400
628.5;184.5;396;15900
97;80;111.5;6600
706.5;134;231;15500
94;108.5;252;7000
1120;12;78;11600
615.5;173;62;15200
1147.5;161.5;371;19700
436;59;129.5;10600
39;194.5;253;6600
401;400;46;8800
1101.5;245;16;24700
298;60;215.5;9700
3.5;198;43.5;1600
1326;14.5;215;12700
42;136;10.5;5700
1099;167.5;225.5;19600
184.5;193;328;10800
241.5;235;42.5;11600
128;195;46.5;9500
1368.5;144.5;298.5;20800
215;129.5;102.5;9600
924.5;219.5;8.5;20700
367;85;64.5;10900
968.5;177;378;19200
1102.5;166;189.5;20100
523;28.5;172;10400
481;74;194.5;11400
701.5;9.5;45;10300
1200.5;36.5;43.5;13200
1216;245;221.5;25400
190;201.5;59.5;10900
223.5;129;103;10100
1403.5;69.5;185;16100
605;42;243.5;11600
988;116.5;71;16600
856.5;198.5;188.5;19000
939;105.5;47.5;15600
20.5;58;28.5;3200
469.5;217.5;252.5;15300
749;6.5;121.5;10100
58.5;184.5;226;7300
658.5;92;173;12900
862.5;90.5;153.5;14400
428.5;179;246.5;13300
942;90.5;128;14900
817.5;184;37;18000
586;73.5;27;11900
1172.5;17;424;11900
89.5;188;108;8000
1034;26;97;12200
1077;118;288;17100
1421.5;53;32;15000
250;58;92;8400
822.5;104.5;237;14500
98;100.5;85;7600
842;35.5;64;11700
1112;17;65.5;11500
1384.5;244.5;209;27000
1242;151;101.5;20200
851;39;176;11700
1383.5;11.5;118.5;11800
828;50;88;12600
783;13;41.5;10500
1092.5;27;137;12200
281;28.5;148.5;8700
1438;215;359;26200
1269;106.5;150;17600
1025;225.5;98;22600
697.5;10.5;133;10300
955.5;143.5;91;17300
1430;69.5;18.5;15900
93.5;60.5;117;6700
197.5;205.5;29;10800
377.5;54;30;9900
86;20.5;158;5900
834;210;18;19600
748.5;178;30;17300
191;18.5;69;7600
471;24.5;40.5;9700
885;46.5;32;12800
1418;210;331;25500
1160.5;43;43.5;13400